location,date,month,ndvi,ndvi_sensor,prev_ndvi,ndvi_change,temperature,rainfall,next_ndvi
Bangalore,2012-10,10,0.4103,MODIS,0.4144,-0.0041,21.8,155.9,0.4144
Bangalore,2012-11,11,0.4144,MODIS,0.4103,0.0041,20.8,39.9,0.4059
Bangalore,2012-12,12,0.4059,MODIS,0.4144,-0.0085,20.5,30.3,0.3311
Bangalore,2013-01,1,0.3311,MODIS,0.4059,-0.0748,21.4,0.1,0.324
Bangalore,2013-02,2,0.324,MODIS,0.3311,-0.0071,22.6,16.3,0.3544
Bangalore,2013-03,3,0.3544,MODIS,0.324,0.0304,26,8.3,0.371
Bangalore,2013-04,4,0.371,MODIS,0.3544,0.0166,27.4,24.6,0.2956
Bangalore,2013-05,5,0.2956,MODIS,0.371,-0.0754,26,216.7,0.2881
Bangalore,2013-06,6,0.2881,MODIS,0.2956,-0.0075,22.2,135.8,0.096
Bangalore,2013-07,7,0.096,MODIS,0.2881,-0.1921,21.6,137.7,0.3393
Bangalore,2013-08,8,0.3393,MODIS,0.096,0.2433,22,124.7,0.384
Bangalore,2013-09,9,0.384,MODIS,0.3393,0.0447,21.8,209.4,0.3709
Bangalore,2013-10,10,0.3709,MODIS,0.384,-0.0131,21.8,96.7,0.4024
Bangalore,2013-11,11,0.4024,MODIS,0.3709,0.0315,21.3,24.5,0.3783
Bangalore,2013-12,12,0.3783,MODIS,0.4024,-0.0241,20,7,0.3171
Bangalore,2014-01,1,0.3171,MODIS,0.3783,-0.0612,20.5,0.2,0.3265
Bangalore,2014-02,2,0.3265,MODIS,0.3171,0.0094,22.6,2,0.3869
Bangalore,2014-03,3,0.3869,MODIS,0.3265,0.0604,25,10.8,0.3836
Bangalore,2014-04,4,0.3836,MODIS,0.3869,-0.0033,27.8,5.9,0.4
Bangalore,2014-05,5,0.4,MODIS,0.3836,0.0164,25.9,158.8,0.3744
Bangalore,2014-06,6,0.3744,MODIS,0.4,-0.0256,24.6,72,0.1568
Bangalore,2014-07,7,0.1568,MODIS,0.3744,-0.2176,22.6,105.8,0.4068
Bangalore,2014-08,8,0.4068,MODIS,0.1568,0.25,22.2,160.2,0.4016
Bangalore,2014-09,9,0.4016,MODIS,0.4068,-0.0052,22.5,118,0.4027
Bangalore,2014-10,10,0.4027,MODIS,0.4016,0.0011,22.2,168.4,0.3993
Bangalore,2014-11,11,0.3993,MODIS,0.4027,-0.0034,20.9,37,0.3604
Bangalore,2014-12,12,0.3604,MODIS,0.3993,-0.0389,20.8,22.4,0.3488
Bangalore,2015-01,1,0.3488,MODIS,0.3604,-0.0116,20.8,5.1,0.3332
Bangalore,2015-02,2,0.3332,MODIS,0.3488,-0.0156,22.4,3.1,0.3941
Bangalore,2015-03,3,0.3941,MODIS,0.3332,0.0609,25,16.3,0.4243
Bangalore,2015-04,4,0.4243,MODIS,0.3941,0.0302,25.4,92.3,0.4371
Bangalore,2015-05,5,0.4371,MODIS,0.4243,0.0128,25.2,157.7,0.3893
Bangalore,2015-06,6,0.3893,MODIS,0.4371,-0.0478,23.3,98.6,0.3446
Bangalore,2015-07,7,0.3446,MODIS,0.3893,-0.0447,23,91.7,0.3872
Bangalore,2015-08,8,0.3872,MODIS,0.3446,0.0426,22.8,137.3,0.4393
Bangalore,2015-09,9,0.4393,MODIS,0.3872,0.0521,22.8,154.7,0.4289
Bangalore,2015-10,10,0.4289,MODIS,0.4393,-0.0104,22.8,74.6,0.4029
Bangalore,2015-11,11,0.4029,MODIS,0.4289,-0.026,20.7,386,0.3883
Bangalore,2015-12,12,0.3883,MODIS,0.4029,-0.0146,20.4,43.2,0.3512
Bangalore,2016-01,1,0.3512,MODIS,0.3883,-0.0371,20.5,5.1,0.3424
Bangalore,2016-02,2,0.3424,MODIS,0.3512,-0.0088,23.5,0.1,0.401
Bangalore,2016-03,3,0.401,MODIS,0.3424,0.0586,26.3,2.8,0.4057
Bangalore,2016-04,4,0.4057,MODIS,0.401,0.0047,28.7,3,0.4008
Bangalore,2016-05,5,0.4008,MODIS,0.4057,-0.0049,26.2,120.3,0.1688
Bangalore,2016-06,6,0.1688,MODIS,0.4008,-0.232,22.8,266,0.2508
Bangalore,2016-07,7,0.2508,MODIS,0.1688,0.082,22.3,212.3,0.2319
Bangalore,2016-08,8,0.2319,MODIS,0.2508,-0.0189,22.5,65.1,0.37
Bangalore,2016-09,9,0.37,MODIS,0.2319,0.1381,22.3,52.9,0.2477
Bangalore,2016-10,10,0.2477,Sentinel2,0.37,-0.1223,23.2,28.3,0.2371
Bangalore,2016-11,11,0.2371,Sentinel2,0.2477,-0.0106,22.7,5.6,0.2027
Bangalore,2016-12,12,0.2027,Sentinel2,0.2371,-0.0344,20.4,67,0.1924
Bangalore,2017-01,1,0.1924,Sentinel2,0.2027,-0.0103,20.7,19.4,0.1967
Bangalore,2017-02,2,0.1967,Sentinel2,0.1924,0.0043,22.4,0,0.4103
Bangalore,2017-03,3,0.4103,MODIS,0.1967,0.2136,25.8,16.3,0.2351
Bangalore,2017-04,4,0.2351,Sentinel2,0.4103,-0.1752,27.9,13.6,0.4212
Bangalore,2017-05,5,0.4212,MODIS,0.2351,0.1861,25.9,154,0.382
Bangalore,2017-06,6,0.382,MODIS,0.4212,-0.0392,23.2,82.6,0.3497
Bangalore,2017-07,7,0.3497,MODIS,0.382,-0.0323,23.2,78.8,0.3372
Bangalore,2017-08,8,0.3372,MODIS,0.3497,-0.0125,22.6,183,0.3594
Bangalore,2017-09,9,0.3594,MODIS,0.3372,0.0222,22.6,264,0.3983
Bangalore,2017-10,10,0.3983,MODIS,0.3594,0.0389,22.3,108.7,0.3939
Bangalore,2017-11,11,0.3939,MODIS,0.3983,-0.0044,21.5,40.9,0.3887
Bangalore,2017-12,12,0.3887,MODIS,0.3939,-0.0052,20.3,15.8,0.1875
Bangalore,2018-01,1,0.1875,Sentinel2,0.3887,-0.2012,20.7,0.5,0.2055
Bangalore,2018-02,2,0.2055,Sentinel2,0.1875,0.018,21.6,37.4,0.1486
Bangalore,2018-03,3,0.1486,Sentinel2,0.2055,-0.0569,24.5,56.5,0.4179
Bangalore,2018-04,4,0.4179,MODIS,0.1486,0.2693,26.6,14.2,0.4042
Bangalore,2018-05,5,0.4042,MODIS,0.4179,-0.0137,24.9,263.4,0.2897
Bangalore,2018-06,6,0.2897,MODIS,0.4042,-0.1145,22.8,161.7,0.187
Bangalore,2018-07,7,0.187,MODIS,0.2897,-0.1027,22.2,95.1,0.2922
Bangalore,2018-08,8,0.2922,MODIS,0.187,0.1052,21.8,103.3,0.4306
Bangalore,2018-09,9,0.4306,MODIS,0.2922,0.1384,22.7,88.9,0.2445
Bangalore,2018-10,10,0.2445,Sentinel2,0.4306,-0.1861,22.2,108,0.4001
Bangalore,2018-11,11,0.4001,MODIS,0.2445,0.1556,21.5,73.1,0.402
Bangalore,2018-12,12,0.402,Sentinel2,0.4001,0.0019,21.4,11.5,0.2664
Bangalore,2019-01,1,0.2664,Sentinel2,0.402,-0.1356,20.3,6.1,0.2826
Bangalore,2019-02,2,0.2826,Sentinel2,0.2664,0.0162,23.5,6.7,0.2912
Bangalore,2019-03,3,0.2912,Sentinel2,0.2826,0.0086,26.7,0.2,0.3167
Bangalore,2019-04,4,0.3167,Sentinel2,0.2912,0.0255,27.7,32.5,0.3162
Bangalore,2019-05,5,0.3162,Sentinel2,0.3167,-0.0005,26.6,121.6,0.3173
Bangalore,2019-06,6,0.3173,MODIS,0.3162,0.0011,24.1,152.2,0.203
Bangalore,2019-07,7,0.203,MODIS,0.3173,-0.1143,22.8,151.7,0.1807
Bangalore,2019-08,8,0.1807,MODIS,0.203,-0.0223,22.2,138.8,0.4846
Bangalore,2019-09,9,0.4846,MODIS,0.1807,0.3039,22.4,182.9,0.35
Bangalore,2019-10,10,0.35,MODIS,0.4846,-0.1346,21.9,229.1,0.4309
Bangalore,2019-11,11,0.4309,Sentinel2,0.35,0.0809,21.8,46.5,0.1025
Bangalore,2019-12,12,0.1025,Sentinel2,0.4309,-0.3284,20.5,31,0.3082
Bangalore,2020-01,1,0.3082,Sentinel2,0.1025,0.2057,22,4.1,0.242
Bangalore,2020-02,2,0.242,Sentinel2,0.3082,-0.0662,22.8,0.2,0.2693
Bangalore,2020-03,3,0.2693,Sentinel2,0.242,0.0273,25.3,17.1,0.368
Bangalore,2020-04,4,0.368,Sentinel2,0.2693,0.0987,26.5,50.1,0.3384
Bangalore,2020-05,5,0.3384,Sentinel2,0.368,-0.0296,27.1,34.8,0.3755
Bangalore,2020-06,6,0.3755,MODIS,0.3384,0.0371,23.7,113.2,0.3306
Bangalore,2020-07,7,0.3306,MODIS,0.3755,-0.0449,22.4,221.7,0.4334
Bangalore,2020-08,8,0.4334,MODIS,0.3306,0.1028,22.4,132.9,0.4164
Bangalore,2020-09,9,0.4164,MODIS,0.4334,-0.017,22,192,0.4395
Bangalore,2020-10,10,0.4395,MODIS,0.4164,0.0231,21.9,108.4,0.4388
Bangalore,2020-11,11,0.4388,MODIS,0.4395,-0.0007,21.1,47.4,0.3707
Bangalore,2020-12,12,0.3707,Sentinel2,0.4388,-0.0681,19.7,61.9,0.2873
Bangalore,2021-01,1,0.2873,Sentinel2,0.3707,-0.0834,20.4,46.1,0.2452
Bangalore,2021-02,2,0.2452,Sentinel2,0.2873,-0.0421,21.3,8.7,0.316
Bangalore,2021-03,3,0.316,Sentinel2,0.2452,0.0708,25.1,0,0.2771
Bangalore,2021-04,4,0.2771,Sentinel2,0.316,-0.0389,25.8,82.7,0.4294
Bangalore,2021-05,5,0.4294,Sentinel2,0.2771,0.1523,24.9,72.2,0.4708
Bangalore,2021-06,6,0.4708,Sentinel2,0.4294,0.0414,23.6,85.3,0.2272
Bangalore,2021-07,7,0.2272,MODIS,0.4708,-0.2436,22.4,182.3,0.3369
Bangalore,2021-08,8,0.3369,MODIS,0.2272,0.1097,22.3,153.4,0.356
Bangalore,2021-09,9,0.356,MODIS,0.3369,0.0191,22.5,90.5,0.4176
Bangalore,2021-10,10,0.4176,MODIS,0.356,0.0616,22.2,251.6,0.2262
Bangalore,2021-11,11,0.2262,MODIS,0.4176,-0.1914,20.6,378.1,0.2631
Bangalore,2021-12,12,0.2631,Sentinel2,0.2262,0.0369,20.2,14.3,0.2735
Bangalore,2022-01,1,0.2735,Sentinel2,0.2631,0.0104,21.4,2.9,0.1875
Bangalore,2022-02,2,0.1875,Sentinel2,0.2735,-0.086,22.4,0.2,0.2497
Bangalore,2022-03,3,0.2497,Sentinel2,0.1875,0.0622,25.1,3.2,0.2367
Bangalore,2022-04,4,0.2367,Sentinel2,0.2497,-0.013,26.4,28.7,0.2842
Bangalore,2022-05,5,0.2842,Sentinel2,0.2367,0.0475,24.4,156.9,0.341
Bangalore,2022-06,6,0.341,MODIS,0.2842,0.0568,23.3,159.5,0.1769
Bangalore,2022-07,7,0.1769,MODIS,0.341,-0.1641,22,247.5,0.1569
Bangalore,2022-08,8,0.1569,Sentinel2,0.1769,-0.02,22.3,202.5,0.3211
Bangalore,2022-09,9,0.3211,MODIS,0.1569,0.1642,22.3,99,0.2644
Bangalore,2022-10,10,0.2644,Sentinel2,0.3211,-0.0567,21.3,139.6,0.4379
Bangalore,2022-11,11,0.4379,MODIS,0.2644,0.1735,20.2,72.5,0.2355
Bangalore,2022-12,12,0.2355,Sentinel2,0.4379,-0.2024,19.9,85.7,0.225
Bangalore,2023-01,1,0.225,Sentinel2,0.2355,-0.0105,19.6,0.8,0.2214
Bangalore,2023-02,2,0.2214,Sentinel2,0.225,-0.0036,22.2,0,0.2526
Bangalore,2023-03,3,0.2526,Sentinel2,0.2214,0.0312,24.1,18.8,0.2304
Bangalore,2023-04,4,0.2304,Sentinel2,0.2526,-0.0222,26.4,38.8,0.25
Bangalore,2023-05,5,0.25,Sentinel2,0.2304,0.0196,25.3,135.3,0.3062
Bangalore,2023-06,6,0.3062,MODIS,0.25,0.0562,24.5,107.6,0.2983
Bangalore,2023-07,7,0.2983,MODIS,0.3062,-0.0079,22.4,176.4,0.1598
Bangalore,2023-08,8,0.1598,Sentinel2,0.2983,-0.1385,23.9,25.3,0.4249
Bangalore,2023-09,9,0.4249,MODIS,0.1598,0.2651,23.4,76.4,0.2687
Bangalore,2023-10,10,0.2687,Sentinel2,0.4249,-0.1562,23.7,56.4,0.2491
Bangalore,2023-11,11,0.2491,Sentinel2,0.2687,-0.0196,21.9,121.8,0.4105
Bangalore,2023-12,12,0.4105,MODIS,0.2491,0.1614,21.4,15.8,0.2183
Bangalore,2024-01,1,0.2183,Sentinel2,0.4105,-0.1922,21.6,20.6,0.2227
Bangalore,2024-02,2,0.2227,Sentinel2,0.2183,0.0044,24.1,0.2,0.249
Bangalore,2024-03,3,0.249,Sentinel2,0.2227,0.0263,26.7,0.4,0.2484
Bangalore,2024-04,4,0.2484,Sentinel2,0.249,-0.0006,28.9,0.5,0.2356
Bangalore,2024-05,5,0.2356,Sentinel2,0.2484,-0.0128,26.3,187.5,0.2629
Bangalore,2024-06,6,0.2629,Sentinel2,0.2356,0.0273,23.6,147.9,0.2805
Bangalore,2024-07,7,0.2805,MODIS,0.2629,0.0176,22.6,165.8,0.2944
Bangalore,2024-08,8,0.2944,MODIS,0.2805,0.0139,22.9,250.9,0.275
Bangalore,2024-09,9,0.275,Sentinel2,0.2944,-0.0194,22.9,40.8,0.46
Bangalore,2024-10,10,0.46,MODIS,0.275,0.185,22.4,243.8,0.266
Bangalore,2024-11,11,0.266,Sentinel2,0.46,-0.194,21.2,53.1,0.2409
Bangalore,2024-12,12,0.2409,Sentinel2,0.266,-0.0251,20.7,73.3,0.2292
Bangalore,2025-01,1,0.2292,Sentinel2,0.2409,-0.0117,19.9,5.2,0.2185
Bangalore,2025-02,2,0.2185,Sentinel2,0.2292,-0.0107,22.8,0,0.2765
Bangalore,2025-03,3,0.2765,Sentinel2,0.2185,0.058,25.3,18.9,0.2861
Bangalore,2025-04,4,0.2861,Sentinel2,0.2765,0.0096,25.6,74.6,0.2865
Bangalore,2025-05,5,0.2865,Sentinel2,0.2861,0.0004,24.3,213.7,0.242
Bangalore,2025-06,6,0.242,Sentinel2,0.2865,-0.0445,23,84.7,0.1862
Bangalore,2025-07,7,0.1862,MODIS,0.242,-0.0558,22.3,137.2,0.3319
Bangalore,2025-08,8,0.3319,MODIS,0.1862,0.1457,21.9,208.4,0.3847
Bangalore,2025-09,9,0.3847,MODIS,0.3319,0.0528,22.2,70.3,0.424
Bangalore,2025-10,10,0.424,MODIS,0.3847,0.0393,21.9,170.6,0.1499
Bangalore,2025-11,11,0.1499,Sentinel2,0.424,-0.2741,20.8,42.5,0.251
Mysore,2010-01,1,0.3563,MODIS,,,23.2,3,0.3159
Mysore,2010-02,2,0.3159,MODIS,0.3563,-0.0404,25.8,2.2,0.3238
Mysore,2010-03,3,0.3238,MODIS,0.3159,0.0079,27.9,2.2,0.3845
Mysore,2010-04,4,0.3845,MODIS,0.3238,0.0607,28.1,79.9,0.4313
Mysore,2010-05,5,0.4313,MODIS,0.3845,0.0468,26.6,134.1,0.3759
Mysore,2010-06,6,0.3759,MODIS,0.4313,-0.0554,24.1,215.2,0.3641
Mysore,2010-07,7,0.3641,MODIS,0.3759,-0.0118,22.7,294.7,0.3833
Mysore,2010-08,8,0.3833,MODIS,0.3641,0.0192,23.1,203.9,0.4338
Mysore,2010-09,9,0.4338,MODIS,0.3833,0.0505,23.2,122.5,0.3188
Mysore,2010-10,10,0.3188,MODIS,0.4338,-0.115,23,155.6,0.2874
Mysore,2010-11,11,0.2874,MODIS,0.3188,-0.0314,22.1,212,0.3917
Mysore,2010-12,12,0.3917,MODIS,0.2874,0.1043,20.8,25.7,0.3579
Mysore,2011-01,1,0.3579,MODIS,0.3917,-0.0338,21.7,1,0.3331
Mysore,2011-02,2,0.3331,MODIS,0.3579,-0.0248,23.1,13.9,0.3505
Mysore,2011-03,3,0.3505,MODIS,0.3331,0.0174,26.1,4.2,0.3718
Mysore,2011-04,4,0.3718,MODIS,0.3505,0.0213,26.3,97.9,0.4143
Mysore,2011-05,5,0.4143,MODIS,0.3718,0.0425,26,83.7,0.317
Mysore,2011-06,6,0.317,MODIS,0.4143,-0.0973,23.5,172.6,0.3493
Mysore,2011-07,7,0.3493,MODIS,0.317,0.0323,22.8,211.8,0.3879
Mysore,2011-08,8,0.3879,MODIS,0.3493,0.0386,22.6,265.6,0.3858
Mysore,2011-09,9,0.3858,MODIS,0.3879,-0.0021,23.1,133.5,0.4641
Mysore,2011-10,10,0.4641,MODIS,0.3858,0.0783,23.2,176.8,0.4387
Mysore,2011-11,11,0.4387,MODIS,0.4641,-0.0254,21.7,113.3,0.3821
Mysore,2011-12,12,0.3821,MODIS,0.4387,-0.0566,21,6.4,0.3479
Mysore,2012-01,1,0.3479,MODIS,0.3821,-0.0342,21.9,0.7,0.3025
Mysore,2012-02,2,0.3025,MODIS,0.3479,-0.0454,24.5,0.2,0.3063
Mysore,2012-03,3,0.3063,MODIS,0.3025,0.0038,27.2,0.9,0.3436
Mysore,2012-04,4,0.3436,MODIS,0.3063,0.0373,27.3,73.4,0.3779
Mysore,2012-05,5,0.3779,MODIS,0.3436,0.0343,26,64.5,0.3254
Mysore,2012-06,6,0.3254,MODIS,0.3779,-0.0525,24,132.7,0.2549
Mysore,2012-07,7,0.2549,MODIS,0.3254,-0.0705,23.3,113.7,0.278
Mysore,2012-08,8,0.278,MODIS,0.2549,0.0231,22.7,243.1,0.3824
Mysore,2012-09,9,0.3824,MODIS,0.278,0.1044,23.1,97.4,0.4252
Mysore,2012-10,10,0.4252,MODIS,0.3824,0.0428,23,202.1,0.4045
Mysore,2012-11,11,0.4045,MODIS,0.4252,-0.0207,22.5,30.7,0.359
Mysore,2012-12,12,0.359,MODIS,0.4045,-0.0455,22.7,24.4,0.313
Mysore,2013-01,1,0.313,MODIS,0.359,-0.046,23.7,0,0.305
Mysore,2013-02,2,0.305,MODIS,0.313,-0.008,25,8.6,0.3118
Mysore,2013-03,3,0.3118,MODIS,0.305,0.0068,27.3,10,0.3241
Mysore,2013-04,4,0.3241,MODIS,0.3118,0.0123,28,24.6,0.3758
Mysore,2013-05,5,0.3758,MODIS,0.3241,0.0517,26.4,136.3,0.1981
Mysore,2013-06,6,0.1981,MODIS,0.3758,-0.1777,22.7,221.5,0.1808
Mysore,2013-07,7,0.1808,MODIS,0.1981,-0.0173,22.5,149.7,0.2981
Mysore,2013-08,8,0.2981,MODIS,0.1808,0.1173,22.9,112.1,0.3825
Mysore,2013-09,9,0.3825,MODIS,0.2981,0.0844,22.9,166.6,0.3312
Mysore,2013-10,10,0.3312,MODIS,0.3825,-0.0513,23,89.2,0.409
Mysore,2013-11,11,0.409,MODIS,0.3312,0.0778,23.1,22.7,0.357
Mysore,2013-12,12,0.357,MODIS,0.409,-0.052,22.1,8.5,0.3178
Mysore,2014-01,1,0.3178,MODIS,0.357,-0.0392,23.1,0.1,0.3006
Mysore,2014-02,2,0.3006,MODIS,0.3178,-0.0172,24.5,6.6,0.3381
Mysore,2014-03,3,0.3381,MODIS,0.3006,0.0375,27,12.4,0.3135
Mysore,2014-04,4,0.3135,MODIS,0.3381,-0.0246,28,39.3,0.3839
Mysore,2014-05,5,0.3839,MODIS,0.3135,0.0704,26.6,100.1,0.3204
Mysore,2014-06,6,0.3204,MODIS,0.3839,-0.0635,25.4,55.6,0.2111
Mysore,2014-07,7,0.2111,MODIS,0.3204,-0.1093,23.1,213.8,0.3593
Mysore,2014-08,8,0.3593,MODIS,0.2111,0.1482,22.9,184.3,0.4226
Mysore,2014-09,9,0.4226,MODIS,0.3593,0.0633,23.5,130.5,0.4426
Mysore,2014-10,10,0.4426,MODIS,0.4226,0.02,23.1,226.5,0.4133
Mysore,2014-11,11,0.4133,MODIS,0.4426,-0.0293,22.3,45.5,0.3747
Mysore,2014-12,12,0.3747,MODIS,0.4133,-0.0386,22.6,29.1,0.348
Mysore,2015-01,1,0.348,MODIS,0.3747,-0.0267,22.9,1.7,0.3109
Mysore,2015-02,2,0.3109,MODIS,0.348,-0.0371,24.7,0.2,0.3606
Mysore,2015-03,3,0.3606,MODIS,0.3109,0.0497,27,20,0.3456
Mysore,2015-04,4,0.3456,MODIS,0.3606,-0.015,26.5,95.9,0.4107
Mysore,2015-05,5,0.4107,MODIS,0.3456,0.0651,25.7,155.2,0.4147
Mysore,2015-06,6,0.4147,MODIS,0.4107,0.004,24.1,111.4,0.4272
Mysore,2015-07,7,0.4272,MODIS,0.4147,0.0125,23.7,136.9,0.4015
Mysore,2015-08,8,0.4015,MODIS,0.4272,-0.0257,23.7,138.7,0.41
Mysore,2015-09,9,0.41,MODIS,0.4015,0.0085,24,133.5,0.4436
Mysore,2015-10,10,0.4436,MODIS,0.41,0.0336,24.5,46.2,0.3364
Mysore,2015-11,11,0.3364,MODIS,0.4436,-0.1072,22,259.3,0.1895
Mysore,2015-12,12,0.1895,Sentinel2,0.3364,-0.1469,22.3,18.9,0.1698
Mysore,2016-01,1,0.1698,Sentinel2,0.1895,-0.0197,23,3.8,0.3098
Mysore,2016-02,2,0.3098,MODIS,0.1698,0.14,25.8,1.2,0.1769
Mysore,2016-03,3,0.1769,Sentinel2,0.3098,-0.1329,28.1,5.3,0.1963
Mysore,2016-04,4,0.1963,Sentinel2,0.1769,0.0194,29.3,8.3,0.3155
Mysore,2016-05,5,0.3155,MODIS,0.1963,0.1192,26.9,105.3,0.3417
Mysore,2016-06,6,0.3417,MODIS,0.3155,0.0262,23.7,214.7,0.3737
Mysore,2016-07,7,0.3737,MODIS,0.3417,0.032,23.1,190.6,0.3734
Mysore,2016-08,8,0.3734,MODIS,0.3737,-0.0003,23.5,76.1,0.2901
Mysore,2016-09,9,0.2901,MODIS,0.3734,-0.0833,23.5,48.4,0.3444
Mysore,2016-10,10,0.3444,MODIS,0.2901,0.0543,24.5,17,0.1907
Mysore,2016-11,11,0.1907,Sentinel2,0.3444,-0.1537,25,8.7,0.1711
Mysore,2016-12,12,0.1711,Sentinel2,0.1907,-0.0196,22.9,52.4,0.3309
Mysore,2017-01,1,0.3309,MODIS,0.1711,0.1598,23.2,13.9,0.1611
Mysore,2017-02,2,0.1611,Sentinel2,0.3309,-0.1698,25,0.1,0.3153
Mysore,2017-03,3,0.3153,MODIS,0.1611,0.1542,27.5,12.5,0.1813
Mysore,2017-04,4,0.1813,Sentinel2,0.3153,-0.134,28.2,22.6,0.4005
Mysore,2017-05,5,0.4005,MODIS,0.1813,0.2192,26.3,155.9,0.2802
Mysore,2017-06,6,0.2802,MODIS,0.4005,-0.1203,23.8,108.6,0.2333
Mysore,2017-07,7,0.2333,MODIS,0.2802,-0.0469,23.6,94.9,0.3149
Mysore,2017-08,8,0.3149,MODIS,0.2333,0.0816,23.2,257.1,0.3743
Mysore,2017-09,9,0.3743,MODIS,0.3149,0.0594,23.4,212.3,0.2121
Mysore,2017-10,10,0.2121,Sentinel2,0.3743,-0.1622,23.4,70.8,0.4091
Mysore,2017-11,11,0.4091,MODIS,0.2121,0.197,23.1,41.3,0.185
Mysore,2017-12,12,0.185,Sentinel2,0.4091,-0.2241,22.3,21.9,0.1599
Mysore,2018-01,1,0.1599,Sentinel2,0.185,-0.0251,22.7,0.8,0.1654
Mysore,2018-02,2,0.1654,Sentinel2,0.1599,0.0055,24.1,11.6,0.1823
Mysore,2018-03,3,0.1823,Sentinel2,0.1654,0.0169,26.4,42.9,0.3443
Mysore,2018-04,4,0.3443,MODIS,0.1823,0.162,27.8,30.3,0.3914
Mysore,2018-05,5,0.3914,MODIS,0.3443,0.0471,25.9,222,0.3367
Mysore,2018-06,6,0.3367,MODIS,0.3914,-0.0547,23.5,179.2,0.2741
Mysore,2018-07,7,0.2741,MODIS,0.3367,-0.0626,23.1,124,0.3345
Mysore,2018-08,8,0.3345,MODIS,0.2741,0.0604,22.7,181.3,0.3632
Mysore,2018-09,9,0.3632,MODIS,0.3345,0.0287,23.8,92.6,0.2253
Mysore,2018-10,10,0.2253,Sentinel2,0.3632,-0.1379,23.5,93.7,0.2063
Mysore,2018-11,11,0.2063,Sentinel2,0.2253,-0.019,23.5,40.6,0.1782
Mysore,2018-12,12,0.1782,Sentinel2,0.2063,-0.0281,23.5,12.1,0.1858
Mysore,2019-01,1,0.1858,Sentinel2,0.1782,0.0076,22.4,3,0.1777
Mysore,2019-02,2,0.1777,Sentinel2,0.1858,-0.0081,25.7,2.7,0.1838
Mysore,2019-03,3,0.1838,Sentinel2,0.1777,0.0061,28,1.1,0.227
Mysore,2019-04,4,0.227,Sentinel2,0.1838,0.0432,28.4,45.8,0.3149
Mysore,2019-05,5,0.3149,Sentinel2,0.227,0.0879,27.2,93.2,0.2941
